"location","subject","time","mean.score"
"CHL","BOY",2012,435.525
"CHL","BOY",2015,432
"CHL","BOY",2018,421
"CHL","GIRL",2006,396
"CHL","GIRL",2009,410
"CHL","GIRL",2012,410.543
"CHL","GIRL",2015,413
"CHL","GIRL",2018,414
"EST","BOY",2006,515
"EST","BOY",2009,516
"EST","BOY",2012,523.214
"EST","BOY",2015,522
"EST","BOY",2018,528
"EST","GIRL",2006,514
"EST","GIRL",2009,508
"EST","GIRL",2012,517.93
"EST","GIRL",2015,517
"EST","GIRL",2018,519
"IDN","BOY",2003,362
"IDN","BOY",2006,399
"IDN","BOY",2009,371
"IDN","BOY",2012,377.376
"IDN","BOY",2015,385
"IDN","BOY",2018,374
"IDN","GIRL",2003,358
"IDN","GIRL",2006,382
"IDN","GIRL",2009,372
"IDN","GIRL",2012,372.785
"IDN","GIRL",2015,387
"IDN","GIRL",2018,383
"ISR","BOY",2006,448
"ISR","BOY",2009,451
"ISR","BOY",2012,472.398
"ISR","BOY",2015,474
"ISR","BOY",2018,458
"ISR","GIRL",2006,436
"ISR","GIRL",2009,443
"ISR","GIRL",2012,460.749
"ISR","GIRL",2015,466
"ISR","GIRL",2018,467
"RUS","BOY",2003,473
"RUS","BOY",2009,469
"RUS","BOY",2012,481.394
"RUS","BOY",2015,497
"RUS","BOY",2018,490
"RUS","GIRL",2003,463
"RUS","GIRL",2009,467
"RUS","GIRL",2012,482.944
"RUS","GIRL",2015,491
"RUS","GIRL",2018,485
"SVN","BOY",2006,507
"SVN","BOY",2009,502
"SVN","BOY",2012,502.748
"SVN","BOY",2015,512
"SVN","BOY",2018,509
"SVN","GIRL",2006,502
"SVN","GIRL",2009,501
"SVN","GIRL",2012,499.387
"SVN","GIRL",2015,508
"SVN","GIRL",2018,509
"OAVG","BOY",2003,505.333
"OAVG","BOY",2006,499.706
"OAVG","BOY",2009,501.382
"OAVG","BOY",2012,499.421
"OAVG","BOY",2015,494
"OAVG","BOY",2018,492
"OAVG","GIRL",2003,494.833
"OAVG","GIRL",2006,488.588
"OAVG","GIRL",2009,489.794
"OAVG","GIRL",2012,488.551
"OAVG","GIRL",2015,486
"OAVG","GIRL",2018,487
"LVA","BOY",2015,481
"LVA","BOY",2018,500
"LVA","GIRL",2015,483
"LVA","GIRL",2018,493
"AUS","TOT",2003,524
"AUS","TOT",2006,520
"AUS","TOT",2009,514
"AUS","TOT",2012,504
"AUS","TOT",2015,494
"AUS","TOT",2018,491
"AUT","TOT",2003,506
"AUT","TOT",2006,505
"AUT","TOT",2012,506
"AUT","TOT",2015,497
"AUT","TOT",2018,499
"BEL","TOT",2003,529
"BEL","TOT",2006,520
"BEL","TOT",2009,515
"BEL","TOT",2012,515
"BEL","TOT",2015,507
"BEL","TOT",2018,508
"CAN","TOT",2003,532
"CAN","TOT",2006,527
"CAN","TOT",2009,527
"CAN","TOT",2012,518
"CAN","TOT",2015,516
"CAN","TOT",2018,512
"CZE","TOT",2003,516
"CZE","TOT",2006,510
"CZE","TOT",2009,493
"CZE","TOT",2012,499
"CZE","TOT",2015,492
"CZE","TOT",2018,499
"DNK","TOT",2003,514
"DNK","TOT",2006,513
"DNK","TOT",2009,503
"DNK","TOT",2012,500
"DNK","TOT",2015,511
"DNK","TOT",2018,509
"FIN","TOT",2003,544
"FIN","TOT",2006,548
"FIN","TOT",2009,541
"FIN","TOT",2012,519
"FIN","TOT",2015,511
"FIN","TOT",2018,507
"FRA","TOT",2003,511
"FRA","TOT",2006,496
"FRA","TOT",2009,497
"FRA","TOT",2012,495
"FRA","TOT",2015,493
"FRA","TOT",2018,495
"DEU","TOT",2003,503
"DEU","TOT",2006,504
"DEU","TOT",2009,513
"DEU","TOT",2012,514
"DEU","TOT",2015,506
"DEU","TOT",2018,500
"GRC","TOT",2003,445
"GRC","TOT",2006,459
"GRC","TOT",2009,466
"GRC","TOT",2012,453
"GRC","TOT",2015,454
"GRC","TOT",2018,451
"HUN","TOT",2003,490
"HUN","TOT",2006,491
"HUN","TOT",2009,490
"HUN","TOT",2012,477
"HUN","TOT",2015,477
"HUN","TOT",2018,481
