"country","sex","field","level.of.education","year","percent","flags"
"Austria","F","Social sciences, journalism and information","Master’s or equivalent level (ISCED2011 level 7)",2017,12.31,""
"Austria","M","Social sciences, journalism and information","Master’s or equivalent level (ISCED2011 level 7)",2017,6.662,""
"Austria","F","Social sciences, journalism and information","Doctoral or equivalent level  (ISCED2011 level 8)",2017,12.196,""
"Austria","M","Social sciences, journalism and information","Doctoral or equivalent level  (ISCED2011 level 8)",2017,7.983,""
"Austria","F","Business, administration and law","Bachelor’s or equivalent level (ISCED2011 level 6)",2017,16.67,""
"Austria","M","Business, administration and law","Bachelor’s or equivalent level (ISCED2011 level 6)",2017,15.757,""
"Austria","F","Business, administration and law","Master’s or equivalent level (ISCED2011 level 7)",2017,31.454,""
"Austria","M","Business, administration and law","Master’s or equivalent level (ISCED2011 level 7)",2017,32.138,""
"Austria","F","Business, administration and law","Doctoral or equivalent level  (ISCED2011 level 8)",2017,13.93,""
"Austria","M","Business, administration and law","Doctoral or equivalent level  (ISCED2011 level 8)",2017,13.233,""
"Austria","F","Natural sciences, mathematics and statistics","Bachelor’s or equivalent level (ISCED2011 level 6)",2017,7.416,""
"Austria","M","Natural sciences, mathematics and statistics","Bachelor’s or equivalent level (ISCED2011 level 6)",2017,10.937,""
"Austria","F","Natural sciences, mathematics and statistics","Master’s or equivalent level (ISCED2011 level 7)",2017,6.39,""
"Austria","M","Natural sciences, mathematics and statistics","Master’s or equivalent level (ISCED2011 level 7)",2017,7.578,""
"Austria","F","Natural sciences, mathematics and statistics","Doctoral or equivalent level  (ISCED2011 level 8)",2017,14.819,""
"Austria","M","Natural sciences, mathematics and statistics","Doctoral or equivalent level  (ISCED2011 level 8)",2017,19.885,""
"Austria","F","Information and Communication Technologies","Bachelor’s or equivalent level (ISCED2011 level 6)",2017,1.272,""
"Austria","M","Information and Communication Technologies","Bachelor’s or equivalent level (ISCED2011 level 6)",2017,8.715,""
"Austria","F","Information and Communication Technologies","Master’s or equivalent level (ISCED2011 level 7)",2017,1.037,""
"Austria","M","Information and Communication Technologies","Master’s or equivalent level (ISCED2011 level 7)",2017,6.961,""
"Austria","F","Information and Communication Technologies","Doctoral or equivalent level  (ISCED2011 level 8)",2017,1.923,""
"Austria","M","Information and Communication Technologies","Doctoral or equivalent level  (ISCED2011 level 8)",2017,6.257,""
"Austria","F","Engineering, manufacturing and construction","Bachelor’s or equivalent level (ISCED2011 level 6)",2017,6.578,""
"Austria","M","Engineering, manufacturing and construction","Bachelor’s or equivalent level (ISCED2011 level 6)",2017,25.008,""
"Austria","F","Engineering, manufacturing and construction","Master’s or equivalent level (ISCED2011 level 7)",2017,7.257,""
"Austria","M","Engineering, manufacturing and construction","Master’s or equivalent level (ISCED2011 level 7)",2017,21.4,""
"Austria","F","Engineering, manufacturing and construction","Doctoral or equivalent level  (ISCED2011 level 8)",2017,14.687,""
"Austria","M","Engineering, manufacturing and construction","Doctoral or equivalent level  (ISCED2011 level 8)",2017,25.854,""
"Austria","F","Agriculture, forestry, fisheries and veterinary","Bachelor’s or equivalent level (ISCED2011 level 6)",2017,0.72,""
"Austria","M","Agriculture, forestry, fisheries and veterinary","Bachelor’s or equivalent level (ISCED2011 level 6)",2017,0.971,""
"Austria","F","Agriculture, forestry, fisheries and veterinary","Master’s or equivalent level (ISCED2011 level 7)",2017,1.503,""
"Austria","M","Agriculture, forestry, fisheries and veterinary","Master’s or equivalent level (ISCED2011 level 7)",2017,0.767,""
"Austria","F","Agriculture, forestry, fisheries and veterinary","Doctoral or equivalent level  (ISCED2011 level 8)",2017,3.934,""
"Austria","M","Agriculture, forestry, fisheries and veterinary","Doctoral or equivalent level  (ISCED2011 level 8)",2017,3.668,""
"Austria","F","Health and welfare","Bachelor’s or equivalent level (ISCED2011 level 6)",2017,11.169,""
"Austria","M","Health and welfare","Bachelor’s or equivalent level (ISCED2011 level 6)",2017,4.022,""
"Austria","F","Health and welfare","Master’s or equivalent level (ISCED2011 level 7)",2017,11.862,""
"Austria","M","Health and welfare","Master’s or equivalent level (ISCED2011 level 7)",2017,9.587,""
"Austria","F","Health and welfare","Doctoral or equivalent level  (ISCED2011 level 8)",2017,13.944,""
"Austria","M","Health and welfare","Doctoral or equivalent level  (ISCED2011 level 8)",2017,9.169,""
"Austria","F","Services","Bachelor’s or equivalent level (ISCED2011 level 6)",2017,1.867,""
"Austria","M","Services","Bachelor’s or equivalent level (ISCED2011 level 6)",2017,2.303,""
"Austria","F","Services","Master’s or equivalent level (ISCED2011 level 7)",2017,0.829,""
"Austria","M","Services","Master’s or equivalent level (ISCED2011 level 7)",2017,1.106,""
"Austria","F","Services","Doctoral or equivalent level  (ISCED2011 level 8)",2017,0.437,""
"Austria","M","Services","Doctoral or equivalent level  (ISCED2011 level 8)",2017,1.151,""
"Belgium","F","Generic programmes and qualifications","Bachelor’s or equivalent level (ISCED2011 level 6)",2017,0,""
"Belgium","M","Generic programmes and qualifications","Bachelor’s or equivalent level (ISCED2011 level 6)",2017,0,""
"Belgium","F","Generic programmes and qualifications","Master’s or equivalent level (ISCED2011 level 7)",2017,0,""
"Belgium","M","Generic programmes and qualifications","Master’s or equivalent level (ISCED2011 level 7)",2017,0,""
"Belgium","F","Generic programmes and qualifications","Doctoral or equivalent level  (ISCED2011 level 8)",2017,0,""
"Belgium","M","Generic programmes and qualifications","Doctoral or equivalent level  (ISCED2011 level 8)",2017,0,""
"Belgium","F","Education","Bachelor’s or equivalent level (ISCED2011 level 6)",2017,15.128,""
"Belgium","M","Education","Bachelor’s or equivalent level (ISCED2011 level 6)",2017,6.735,""
"Belgium","F","Education","Master’s or equivalent level (ISCED2011 level 7)",2017,6.083,""
"Belgium","M","Education","Master’s or equivalent level (ISCED2011 level 7)",2017,2.683,""
"Belgium","F","Education","Doctoral or equivalent level  (ISCED2011 level 8)",2017,1.667,""
"Belgium","M","Education","Doctoral or equivalent level  (ISCED2011 level 8)",2017,0.712,""
"Belgium","F","Arts and humanities","Bachelor’s or equivalent level (ISCED2011 level 6)",2017,9.411,""
"Belgium","M","Arts and humanities","Bachelor’s or equivalent level (ISCED2011 level 6)",2017,9.337,""
"Belgium","F","Arts and humanities","Master’s or equivalent level (ISCED2011 level 7)",2017,13.776,""
"Belgium","M","Arts and humanities","Master’s or equivalent level (ISCED2011 level 7)",2017,9.493,""
"Belgium","F","Arts and humanities","Doctoral or equivalent level  (ISCED2011 level 8)",2017,9.75,""
"Belgium","M","Arts and humanities","Doctoral or equivalent level  (ISCED2011 level 8)",2017,12.598,""
"Belgium","F","Social sciences, journalism and information","Bachelor’s or equivalent level (ISCED2011 level 6)",2017,9.337,""
"Belgium","M","Social sciences, journalism and information","Bachelor’s or equivalent level (ISCED2011 level 6)",2017,5.276,""
"Belgium","F","Social sciences, journalism and information","Master’s or equivalent level (ISCED2011 level 7)",2017,17.067,""
"Belgium","M","Social sciences, journalism and information","Master’s or equivalent level (ISCED2011 level 7)",2017,10.365,""
"Belgium","F","Social sciences, journalism and information","Doctoral or equivalent level  (ISCED2011 level 8)",2017,15.5,""
"Belgium","M","Social sciences, journalism and information","Doctoral or equivalent level  (ISCED2011 level 8)",2017,9.537,""
"Belgium","F","Business, administration and law","Bachelor’s or equivalent level (ISCED2011 level 6)",2017,19.147,""
"Belgium","M","Business, administration and law","Bachelor’s or equivalent level (ISCED2011 level 6)",2017,25.876,""
"Belgium","F","Business, administration and law","Master’s or equivalent level (ISCED2011 level 7)",2017,24.454,""
"Belgium","M","Business, administration and law","Master’s or equivalent level (ISCED2011 level 7)",2017,26.578,""
"Belgium","F","Business, administration and law","Doctoral or equivalent level  (ISCED2011 level 8)",2017,7.917,""
"Belgium","M","Business, administration and law","Doctoral or equivalent level  (ISCED2011 level 8)",2017,7.402,""
"Belgium","F","Natural sciences, mathematics and statistics","Bachelor’s or equivalent level (ISCED2011 level 6)",2017,1.427,""
