"","country","sex","age","numeracy.level","year","earn.month","flags"
"171","Italy","F","25-64 years","Level (2)",2012,2100,""
"172","Italy","M","25-64 years","Level (2)",2012,2500,""
"173","Italy","F","25-64 years","Level (3)",2012,2600,""
"174","Italy","M","25-64 years","Level (3)",2012,2900,""
"175","Italy","F","25-64 years","Level (4/5)",2012,2800,""
"176","Italy","M","25-64 years","Level (4/5)",2012,3300,""
"177","Japan","F","25-64 years","Level (0/1)",2012,9,""
"178","Japan","M","25-64 years","Level (0/1)",2012,7,""
"179","Japan","F","25-64 years","Level (2)",2012,32,""
"180","Japan","M","25-64 years","Level (2)",2012,23,""
"181","Japan","F","25-64 years","Level (3)",2012,45,""
"182","Japan","M","25-64 years","Level (3)",2012,44,""
"183","Japan","F","25-64 years","Level (4/5)",2012,14,""
"184","Japan","M","25-64 years","Level (4/5)",2012,26,""
"185","Japan","F","25-64 years","Level (0/1)",2012,1600,""
"186","Japan","M","25-64 years","Level (0/1)",2012,2500,""
"187","Japan","F","25-64 years","Level (2)",2012,1900,""
"188","Japan","M","25-64 years","Level (2)",2012,3200,""
"189","Japan","F","25-64 years","Level (3)",2012,2300,""
"190","Japan","M","25-64 years","Level (3)",2012,3700,""
"191","Japan","F","25-64 years","Level (4/5)",2012,2700,""
"192","Japan","M","25-64 years","Level (4/5)",2012,4400,""
"193","Korea","F","25-64 years","Level (0/1)",2012,24,""
"194","Korea","M","25-64 years","Level (0/1)",2012,18,""
"195","Korea","F","25-64 years","Level (2)",2012,42,""
"196","Korea","M","25-64 years","Level (2)",2012,39,""
"197","Korea","F","25-64 years","Level (3)",2012,29,""
"198","Korea","M","25-64 years","Level (3)",2012,35,""
"199","Korea","F","25-64 years","Level (4/5)",2012,4,""
"200","Korea","M","25-64 years","Level (4/5)",2012,8,""
"201","Korea","F","25-64 years","Level (0/1)",2012,1600,""
"202","Korea","M","25-64 years","Level (0/1)",2012,2500,""
"203","Korea","F","25-64 years","Level (2)",2012,2100,""
"204","Korea","M","25-64 years","Level (2)",2012,3100,""
"205","Korea","F","25-64 years","Level (3)",2012,2400,""
"206","Korea","M","25-64 years","Level (3)",2012,3500,""
"207","Korea","F","25-64 years","Level (4/5)",2012,3000,""
"208","Korea","M","25-64 years","Level (4/5)",2012,4100,""
"209","Netherlands","F","25-64 years","Level (0/1)",2012,17,""
"210","Netherlands","M","25-64 years","Level (0/1)",2012,12,""
"211","Netherlands","F","25-64 years","Level (2)",2012,33,""
"212","Netherlands","M","25-64 years","Level (2)",2012,23,""
"213","Netherlands","F","25-64 years","Level (3)",2012,38,""
"214","Netherlands","M","25-64 years","Level (3)",2012,41,""
"215","Netherlands","F","25-64 years","Level (4/5)",2012,12,""
"216","Netherlands","M","25-64 years","Level (4/5)",2012,24,""
"217","Netherlands","F","25-64 years","Level (0/1)",2012,2700,""
"218","Netherlands","M","25-64 years","Level (0/1)",2012,2800,""
"219","Netherlands","F","25-64 years","Level (2)",2012,3100,""
"220","Netherlands","M","25-64 years","Level (2)",2012,3600,""
"221","Netherlands","F","25-64 years","Level (3)",2012,3400,""
"222","Netherlands","M","25-64 years","Level (3)",2012,4300,""
"223","Netherlands","F","25-64 years","Level (4/5)",2012,4000,""
"224","Netherlands","M","25-64 years","Level (4/5)",2012,4900,""
"225","New Zealand","F","25-64 years","Level (0/1)",2015,21,""
"226","New Zealand","M","25-64 years","Level (0/1)",2015,16,""
"227","New Zealand","F","25-64 years","Level (2)",2015,34,""
"228","New Zealand","M","25-64 years","Level (2)",2015,28,""
"229","New Zealand","F","25-64 years","Level (3)",2015,34,""
"230","New Zealand","M","25-64 years","Level (3)",2015,35,""
"231","New Zealand","F","25-64 years","Level (4/5)",2015,11,""
"232","New Zealand","M","25-64 years","Level (4/5)",2015,21,""
"233","New Zealand","F","25-64 years","Level (0/1)",2015,2200,""
"234","New Zealand","M","25-64 years","Level (0/1)",2015,2800,""
"235","New Zealand","F","25-64 years","Level (2)",2015,2600,""
"236","New Zealand","M","25-64 years","Level (2)",2015,3300,""
"237","New Zealand","F","25-64 years","Level (3)",2015,3200,""
"238","New Zealand","M","25-64 years","Level (3)",2015,4100,""
"239","New Zealand","F","25-64 years","Level (4/5)",2015,3900,""
"240","New Zealand","M","25-64 years","Level (4/5)",2015,5100,""
"241","Norway","F","25-64 years","Level (0/1)",2012,17,""
"242","Norway","M","25-64 years","Level (0/1)",2012,12,""
"243","Norway","F","25-64 years","Level (2)",2012,32,""
"244","Norway","M","25-64 years","Level (2)",2012,24,""
"245","Norway","F","25-64 years","Level (3)",2012,38,""
"246","Norway","M","25-64 years","Level (3)",2012,39,""
"247","Norway","F","25-64 years","Level (4/5)",2012,14,""
"248","Norway","M","25-64 years","Level (4/5)",2012,25,""
"249","Norway","F","25-64 years","Level (0/1)",2012,2900,""
"250","Norway","M","25-64 years","Level (0/1)",2012,3200,""
"251","Norway","F","25-64 years","Level (2)",2012,3200,""
"252","Norway","M","25-64 years","Level (2)",2012,3800,""
"253","Norway","F","25-64 years","Level (3)",2012,3700,""
"254","Norway","M","25-64 years","Level (3)",2012,4500,""
"255","Norway","F","25-64 years","Level (4/5)",2012,4200,""
"256","Norway","M","25-64 years","Level (4/5)",2012,5200,""
"257","Poland","F","25-64 years","Level (0/1)",2012,24,""
"258","Poland","M","25-64 years","Level (0/1)",2012,25,""
"259","Poland","F","25-64 years","Level (2)",2012,40,""
"260","Poland","M","25-64 years","Level (2)",2012,35,""
"261","Poland","F","25-64 years","Level (3)",2012,29,""
"262","Poland","M","25-64 years","Level (3)",2012,30,""
