"","country","sex","field.of.education","level.of.education","year","value","flag.codes","flags"
"88","Australia","M","Engineering, manufacturing and construction","Total tertiary education (ISCED2011 levels 5 to 8)",2015,130263.148,"",""
"89","Australia","M","Engineering, manufacturing and construction","Total tertiary education (ISCED2011 levels 5 to 8)",2016,133485.194,"",""
"90","Australia","M","Engineering, manufacturing and construction","Total tertiary education (ISCED2011 levels 5 to 8)",2017,121452.177,"",""
"91","Australia","F","Engineering, manufacturing and construction","Bachelor’s or equivalent level (ISCED2011 level 6)",2013,21481,"",""
"92","Australia","F","Engineering, manufacturing and construction","Bachelor’s or equivalent level (ISCED2011 level 6)",2014,21037,"",""
"93","Australia","F","Engineering, manufacturing and construction","Bachelor’s or equivalent level (ISCED2011 level 6)",2015,16336.195,"",""
"94","Australia","F","Engineering, manufacturing and construction","Bachelor’s or equivalent level (ISCED2011 level 6)",2016,16995.639,"",""
"95","Australia","F","Engineering, manufacturing and construction","Bachelor’s or equivalent level (ISCED2011 level 6)",2017,17841.273,"",""
"96","Australia","M","Engineering, manufacturing and construction","Bachelor’s or equivalent level (ISCED2011 level 6)",2013,72017,"",""
"97","Australia","M","Engineering, manufacturing and construction","Bachelor’s or equivalent level (ISCED2011 level 6)",2014,72030,"",""
"98","Australia","M","Engineering, manufacturing and construction","Bachelor’s or equivalent level (ISCED2011 level 6)",2015,64242.672,"",""
"99","Australia","M","Engineering, manufacturing and construction","Bachelor’s or equivalent level (ISCED2011 level 6)",2016,64857.825,"",""
"100","Australia","M","Engineering, manufacturing and construction","Bachelor’s or equivalent level (ISCED2011 level 6)",2017,63951.311,"",""
"101","Australia","F","Engineering, manufacturing and construction","Master’s or equivalent level (ISCED2011 level 7)",2013,6590,"",""
"102","Australia","F","Engineering, manufacturing and construction","Master’s or equivalent level (ISCED2011 level 7)",2014,7222,"",""
"103","Australia","F","Engineering, manufacturing and construction","Master’s or equivalent level (ISCED2011 level 7)",2015,6592.762,"",""
"104","Australia","F","Engineering, manufacturing and construction","Master’s or equivalent level (ISCED2011 level 7)",2016,7604.259,"",""
"105","Australia","F","Engineering, manufacturing and construction","Master’s or equivalent level (ISCED2011 level 7)",2017,8168.944,"",""
"106","Australia","M","Engineering, manufacturing and construction","Master’s or equivalent level (ISCED2011 level 7)",2013,13895,"",""
"107","Australia","M","Engineering, manufacturing and construction","Master’s or equivalent level (ISCED2011 level 7)",2014,16018,"",""
"108","Australia","M","Engineering, manufacturing and construction","Master’s or equivalent level (ISCED2011 level 7)",2015,16996.477,"",""
"109","Australia","M","Engineering, manufacturing and construction","Master’s or equivalent level (ISCED2011 level 7)",2016,19883.369,"",""
"110","Australia","M","Engineering, manufacturing and construction","Master’s or equivalent level (ISCED2011 level 7)",2017,20486.865,"",""
"111","Australia","F","Engineering, manufacturing and construction","Doctoral or equivalent level  (ISCED2011 level 8)",2013,2721,"",""
"112","Australia","F","Engineering, manufacturing and construction","Doctoral or equivalent level  (ISCED2011 level 8)",2014,2873,"",""
"113","Australia","F","Engineering, manufacturing and construction","Doctoral or equivalent level  (ISCED2011 level 8)",2015,2532,"",""
"114","Australia","F","Engineering, manufacturing and construction","Doctoral or equivalent level  (ISCED2011 level 8)",2016,2672,"",""
"115","Australia","F","Engineering, manufacturing and construction","Doctoral or equivalent level  (ISCED2011 level 8)",2017,2674,"",""
"116","Australia","M","Engineering, manufacturing and construction","Doctoral or equivalent level  (ISCED2011 level 8)",2013,6356,"",""
"117","Australia","M","Engineering, manufacturing and construction","Doctoral or equivalent level  (ISCED2011 level 8)",2014,6532,"",""
"118","Australia","M","Engineering, manufacturing and construction","Doctoral or equivalent level  (ISCED2011 level 8)",2015,6388,"",""
"119","Australia","M","Engineering, manufacturing and construction","Doctoral or equivalent level  (ISCED2011 level 8)",2016,6630,"",""
"120","Australia","M","Engineering, manufacturing and construction","Doctoral or equivalent level  (ISCED2011 level 8)",2017,6420,"",""
"121","Australia","F","Natural sciences, mathematics and statistics","Total tertiary education (ISCED2011 levels 5 to 8)",2013,5859,"",""
"122","Australia","F","Natural sciences, mathematics and statistics","Total tertiary education (ISCED2011 levels 5 to 8)",2014,6241,"",""
"123","Australia","F","Natural sciences, mathematics and statistics","Total tertiary education (ISCED2011 levels 5 to 8)",2015,7795.745,"",""
"124","Australia","F","Natural sciences, mathematics and statistics","Total tertiary education (ISCED2011 levels 5 to 8)",2016,8545.157,"",""
"125","Australia","F","Natural sciences, mathematics and statistics","Total tertiary education (ISCED2011 levels 5 to 8)",2017,8759.569,"",""
"126","Australia","M","Natural sciences, mathematics and statistics","Total tertiary education (ISCED2011 levels 5 to 8)",2013,6494,"",""
"127","Australia","M","Natural sciences, mathematics and statistics","Total tertiary education (ISCED2011 levels 5 to 8)",2014,6999,"",""
"128","Australia","M","Natural sciences, mathematics and statistics","Total tertiary education (ISCED2011 levels 5 to 8)",2015,8537.99,"",""
"129","Australia","M","Natural sciences, mathematics and statistics","Total tertiary education (ISCED2011 levels 5 to 8)",2016,9012.759,"",""
"130","Australia","M","Natural sciences, mathematics and statistics","Total tertiary education (ISCED2011 levels 5 to 8)",2017,8862.451,"",""
"131","Australia","F","Natural sciences, mathematics and statistics","Bachelor’s or equivalent level (ISCED2011 level 6)",2013,2914,"",""
"132","Australia","F","Natural sciences, mathematics and statistics","Bachelor’s or equivalent level (ISCED2011 level 6)",2014,3010,"",""
"133","Australia","F","Natural sciences, mathematics and statistics","Bachelor’s or equivalent level (ISCED2011 level 6)",2015,3980.066,"",""
"134","Australia","F","Natural sciences, mathematics and statistics","Bachelor’s or equivalent level (ISCED2011 level 6)",2016,4544.733,"",""
"135","Australia","F","Natural sciences, mathematics and statistics","Bachelor’s or equivalent level (ISCED2011 level 6)",2017,4497.004,"",""
"136","Australia","M","Natural sciences, mathematics and statistics","Bachelor’s or equivalent level (ISCED2011 level 6)",2013,3070,"",""
"137","Australia","M","Natural sciences, mathematics and statistics","Bachelor’s or equivalent level (ISCED2011 level 6)",2014,3217,"",""
"138","Australia","M","Natural sciences, mathematics and statistics","Bachelor’s or equivalent level (ISCED2011 level 6)",2015,4107.822,"",""
"139","Australia","M","Natural sciences, mathematics and statistics","Bachelor’s or equivalent level (ISCED2011 level 6)",2016,4547.318,"",""
"140","Australia","M","Natural sciences, mathematics and statistics","Bachelor’s or equivalent level (ISCED2011 level 6)",2017,4344.99,"",""
"141","Australia","F","Natural sciences, mathematics and statistics","Master’s or equivalent level (ISCED2011 level 7)",2013,942,"",""
"142","Australia","F","Natural sciences, mathematics and statistics","Master’s or equivalent level (ISCED2011 level 7)",2014,1108,"",""
"143","Australia","F","Natural sciences, mathematics and statistics","Master’s or equivalent level (ISCED2011 level 7)",2015,1487.679,"",""
"144","Australia","F","Natural sciences, mathematics and statistics","Master’s or equivalent level (ISCED2011 level 7)",2016,1622.424,"",""
"145","Australia","F","Natural sciences, mathematics and statistics","Master’s or equivalent level (ISCED2011 level 7)",2017,1778.565,"",""
"146","Australia","M","Natural sciences, mathematics and statistics","Master’s or equivalent level (ISCED2011 level 7)",2013,1084,"",""
"147","Australia","M","Natural sciences, mathematics and statistics","Master’s or equivalent level (ISCED2011 level 7)",2014,1256,"",""
"148","Australia","M","Natural sciences, mathematics and statistics","Master’s or equivalent level (ISCED2011 level 7)",2015,1544.169,"",""
"149","Australia","M","Natural sciences, mathematics and statistics","Master’s or equivalent level (ISCED2011 level 7)",2016,1595.441,"",""
"150","Australia","M","Natural sciences, mathematics and statistics","Master’s or equivalent level (ISCED2011 level 7)",2017,1656.461,"",""
"151","Australia","F","Natural sciences, mathematics and statistics","Doctoral or equivalent level  (ISCED2011 level 8)",2013,1837,"",""
"152","Australia","F","Natural sciences, mathematics and statistics","Doctoral or equivalent level  (ISCED2011 level 8)",2014,1939,"",""
"153","Australia","F","Natural sciences, mathematics and statistics","Doctoral or equivalent level  (ISCED2011 level 8)",2015,2193,"",""
"154","Australia","F","Natural sciences, mathematics and statistics","Doctoral or equivalent level  (ISCED2011 level 8)",2016,2241,"",""
"155","Australia","F","Natural sciences, mathematics and statistics","Doctoral or equivalent level  (ISCED2011 level 8)",2017,2155,"",""
"156","Australia","M","Natural sciences, mathematics and statistics","Doctoral or equivalent level  (ISCED2011 level 8)",2013,2162,"",""
"157","Australia","M","Natural sciences, mathematics and statistics","Doctoral or equivalent level  (ISCED2011 level 8)",2014,2342,"",""
"158","Australia","M","Natural sciences, mathematics and statistics","Doctoral or equivalent level  (ISCED2011 level 8)",2015,2693,"",""
"159","Australia","M","Natural sciences, mathematics and statistics","Doctoral or equivalent level  (ISCED2011 level 8)",2016,2708,"",""
"160","Australia","M","Natural sciences, mathematics and statistics","Doctoral or equivalent level  (ISCED2011 level 8)",2017,2551,"",""
"161","Australia","F","Information and Communication Technologies","Total tertiary education (ISCED2011 levels 5 to 8)",2013,3678,"",""
"162","Australia","F","Information and Communication Technologies","Total tertiary education (ISCED2011 levels 5 to 8)",2014,4441,"",""
