"","country","sex","field.of.education","level.of.education","year","value","flag.codes","flags"
"4764","Poland","F","Engineering, manufacturing and construction","Total tertiary education (ISCED2011 levels 5 to 8)",2016,1107,"",""
"4765","Poland","F","Engineering, manufacturing and construction","Total tertiary education (ISCED2011 levels 5 to 8)",2017,1218,"",""
"4766","Poland","M","Engineering, manufacturing and construction","Total tertiary education (ISCED2011 levels 5 to 8)",2013,1531,"",""
"4767","Poland","M","Engineering, manufacturing and construction","Total tertiary education (ISCED2011 levels 5 to 8)",2014,1888,"",""
"4768","Poland","M","Engineering, manufacturing and construction","Total tertiary education (ISCED2011 levels 5 to 8)",2015,2632,"",""
"4769","Poland","M","Engineering, manufacturing and construction","Total tertiary education (ISCED2011 levels 5 to 8)",2016,3054,"",""
"4770","Poland","M","Engineering, manufacturing and construction","Total tertiary education (ISCED2011 levels 5 to 8)",2017,3438,"",""
"4771","Poland","F","Engineering, manufacturing and construction","Bachelor’s or equivalent level (ISCED2011 level 6)",2013,382,"",""
"4772","Poland","F","Engineering, manufacturing and construction","Bachelor’s or equivalent level (ISCED2011 level 6)",2014,465,"",""
"4773","Poland","F","Engineering, manufacturing and construction","Bachelor’s or equivalent level (ISCED2011 level 6)",2015,697,"",""
"4774","Poland","F","Engineering, manufacturing and construction","Bachelor’s or equivalent level (ISCED2011 level 6)",2016,758,"",""
"4775","Poland","F","Engineering, manufacturing and construction","Bachelor’s or equivalent level (ISCED2011 level 6)",2017,834,"",""
"4776","Poland","M","Engineering, manufacturing and construction","Bachelor’s or equivalent level (ISCED2011 level 6)",2013,1111,"",""
"4777","Poland","M","Engineering, manufacturing and construction","Bachelor’s or equivalent level (ISCED2011 level 6)",2014,1344,"",""
"4778","Poland","M","Engineering, manufacturing and construction","Bachelor’s or equivalent level (ISCED2011 level 6)",2015,1831,"",""
"4779","Poland","M","Engineering, manufacturing and construction","Bachelor’s or equivalent level (ISCED2011 level 6)",2016,2035,"",""
"4780","Poland","M","Engineering, manufacturing and construction","Bachelor’s or equivalent level (ISCED2011 level 6)",2017,2232,"",""
"4781","Poland","F","Engineering, manufacturing and construction","Master’s or equivalent level (ISCED2011 level 7)",2013,148,"",""
"4782","Poland","F","Engineering, manufacturing and construction","Master’s or equivalent level (ISCED2011 level 7)",2014,183,"",""
"4783","Poland","F","Engineering, manufacturing and construction","Master’s or equivalent level (ISCED2011 level 7)",2015,255,"",""
"4784","Poland","F","Engineering, manufacturing and construction","Master’s or equivalent level (ISCED2011 level 7)",2016,307,"",""
"4785","Poland","F","Engineering, manufacturing and construction","Master’s or equivalent level (ISCED2011 level 7)",2017,348,"",""
"4786","Poland","M","Engineering, manufacturing and construction","Master’s or equivalent level (ISCED2011 level 7)",2013,388,"",""
"4787","Poland","M","Engineering, manufacturing and construction","Master’s or equivalent level (ISCED2011 level 7)",2014,493,"",""
"4788","Poland","M","Engineering, manufacturing and construction","Master’s or equivalent level (ISCED2011 level 7)",2015,750,"",""
"4789","Poland","M","Engineering, manufacturing and construction","Master’s or equivalent level (ISCED2011 level 7)",2016,940,"",""
"4790","Poland","M","Engineering, manufacturing and construction","Master’s or equivalent level (ISCED2011 level 7)",2017,1130,"",""
"4791","Poland","F","Engineering, manufacturing and construction","Doctoral or equivalent level  (ISCED2011 level 8)",2013,14,"",""
"4792","Poland","F","Engineering, manufacturing and construction","Doctoral or equivalent level  (ISCED2011 level 8)",2014,27,"",""
"4793","Poland","F","Engineering, manufacturing and construction","Doctoral or equivalent level  (ISCED2011 level 8)",2015,24,"",""
"4794","Poland","F","Engineering, manufacturing and construction","Doctoral or equivalent level  (ISCED2011 level 8)",2016,42,"",""
"4795","Poland","F","Engineering, manufacturing and construction","Doctoral or equivalent level  (ISCED2011 level 8)",2017,36,"",""
"4796","Poland","M","Engineering, manufacturing and construction","Doctoral or equivalent level  (ISCED2011 level 8)",2013,32,"",""
"4797","Poland","M","Engineering, manufacturing and construction","Doctoral or equivalent level  (ISCED2011 level 8)",2014,51,"",""
"4798","Poland","M","Engineering, manufacturing and construction","Doctoral or equivalent level  (ISCED2011 level 8)",2015,51,"",""
"4799","Poland","M","Engineering, manufacturing and construction","Doctoral or equivalent level  (ISCED2011 level 8)",2016,79,"",""
"4800","Poland","M","Engineering, manufacturing and construction","Doctoral or equivalent level  (ISCED2011 level 8)",2017,76,"",""
"4801","Portugal","F","Natural sciences, mathematics and statistics","Total tertiary education (ISCED2011 levels 5 to 8)",2013,11855,"",""
"4802","Portugal","F","Natural sciences, mathematics and statistics","Total tertiary education (ISCED2011 levels 5 to 8)",2014,11954,"",""
"4803","Portugal","F","Natural sciences, mathematics and statistics","Total tertiary education (ISCED2011 levels 5 to 8)",2015,11541,"",""
"4804","Portugal","F","Natural sciences, mathematics and statistics","Total tertiary education (ISCED2011 levels 5 to 8)",2016,11388,"",""
"4805","Portugal","F","Natural sciences, mathematics and statistics","Total tertiary education (ISCED2011 levels 5 to 8)",2017,11376,"",""
"4806","Portugal","M","Natural sciences, mathematics and statistics","Total tertiary education (ISCED2011 levels 5 to 8)",2013,9305,"",""
"4807","Portugal","M","Natural sciences, mathematics and statistics","Total tertiary education (ISCED2011 levels 5 to 8)",2014,9476,"",""
"4808","Portugal","M","Natural sciences, mathematics and statistics","Total tertiary education (ISCED2011 levels 5 to 8)",2015,9054,"",""
"4809","Portugal","M","Natural sciences, mathematics and statistics","Total tertiary education (ISCED2011 levels 5 to 8)",2016,9127,"",""
"4810","Portugal","M","Natural sciences, mathematics and statistics","Total tertiary education (ISCED2011 levels 5 to 8)",2017,9331,"",""
"4811","Portugal","F","Natural sciences, mathematics and statistics","Bachelor’s or equivalent level (ISCED2011 level 6)",2013,7513,"",""
"4812","Portugal","F","Natural sciences, mathematics and statistics","Bachelor’s or equivalent level (ISCED2011 level 6)",2014,7299,"",""
"4813","Portugal","F","Natural sciences, mathematics and statistics","Bachelor’s or equivalent level (ISCED2011 level 6)",2015,7058,"",""
"4814","Portugal","F","Natural sciences, mathematics and statistics","Bachelor’s or equivalent level (ISCED2011 level 6)",2016,6967,"",""
"4815","Portugal","F","Natural sciences, mathematics and statistics","Bachelor’s or equivalent level (ISCED2011 level 6)",2017,6950,"",""
"4816","Portugal","M","Natural sciences, mathematics and statistics","Bachelor’s or equivalent level (ISCED2011 level 6)",2013,5802,"",""
"4817","Portugal","M","Natural sciences, mathematics and statistics","Bachelor’s or equivalent level (ISCED2011 level 6)",2014,5805,"",""
"4818","Portugal","M","Natural sciences, mathematics and statistics","Bachelor’s or equivalent level (ISCED2011 level 6)",2015,5517,"",""
"4819","Portugal","M","Natural sciences, mathematics and statistics","Bachelor’s or equivalent level (ISCED2011 level 6)",2016,5450,"",""
"4820","Portugal","M","Natural sciences, mathematics and statistics","Bachelor’s or equivalent level (ISCED2011 level 6)",2017,5462,"",""
"4821","Portugal","F","Natural sciences, mathematics and statistics","Master’s or equivalent level (ISCED2011 level 7)",2013,2633,"",""
"4822","Portugal","F","Natural sciences, mathematics and statistics","Master’s or equivalent level (ISCED2011 level 7)",2014,2970,"",""
"4823","Portugal","F","Natural sciences, mathematics and statistics","Master’s or equivalent level (ISCED2011 level 7)",2015,2933,"",""
"4824","Portugal","F","Natural sciences, mathematics and statistics","Master’s or equivalent level (ISCED2011 level 7)",2016,2852,"",""
"4825","Portugal","F","Natural sciences, mathematics and statistics","Master’s or equivalent level (ISCED2011 level 7)",2017,2835,"",""
"4826","Portugal","M","Natural sciences, mathematics and statistics","Master’s or equivalent level (ISCED2011 level 7)",2013,2331,"",""
"4827","Portugal","M","Natural sciences, mathematics and statistics","Master’s or equivalent level (ISCED2011 level 7)",2014,2524,"",""
"4828","Portugal","M","Natural sciences, mathematics and statistics","Master’s or equivalent level (ISCED2011 level 7)",2015,2444,"",""
"4829","Portugal","M","Natural sciences, mathematics and statistics","Master’s or equivalent level (ISCED2011 level 7)",2016,2444,"",""
"4830","Portugal","M","Natural sciences, mathematics and statistics","Master’s or equivalent level (ISCED2011 level 7)",2017,2577,"",""
"4831","Portugal","F","Natural sciences, mathematics and statistics","Doctoral or equivalent level  (ISCED2011 level 8)",2013,1709,"",""
"4832","Portugal","F","Natural sciences, mathematics and statistics","Doctoral or equivalent level  (ISCED2011 level 8)",2014,1685,"",""
"4833","Portugal","F","Natural sciences, mathematics and statistics","Doctoral or equivalent level  (ISCED2011 level 8)",2015,1550,"",""
"4834","Portugal","F","Natural sciences, mathematics and statistics","Doctoral or equivalent level  (ISCED2011 level 8)",2016,1523,"",""
"4835","Portugal","F","Natural sciences, mathematics and statistics","Doctoral or equivalent level  (ISCED2011 level 8)",2017,1486,"",""
"4836","Portugal","M","Natural sciences, mathematics and statistics","Doctoral or equivalent level  (ISCED2011 level 8)",2013,1172,"",""
"4837","Portugal","M","Natural sciences, mathematics and statistics","Doctoral or equivalent level  (ISCED2011 level 8)",2014,1147,"",""
"4838","Portugal","M","Natural sciences, mathematics and statistics","Doctoral or equivalent level  (ISCED2011 level 8)",2015,1093,"",""
"4839","Portugal","M","Natural sciences, mathematics and statistics","Doctoral or equivalent level  (ISCED2011 level 8)",2016,1216,"",""
"4840","Portugal","M","Natural sciences, mathematics and statistics","Doctoral or equivalent level  (ISCED2011 level 8)",2017,1257,"",""
"4841","Portugal","F","Information and Communication Technologies","Total tertiary education (ISCED2011 levels 5 to 8)",2013,1216,"",""
"4842","Portugal","F","Information and Communication Technologies","Total tertiary education (ISCED2011 levels 5 to 8)",2014,1122,"",""
"4843","Portugal","F","Information and Communication Technologies","Total tertiary education (ISCED2011 levels 5 to 8)",2015,1085,"",""
"4844","Portugal","F","Information and Communication Technologies","Total tertiary education (ISCED2011 levels 5 to 8)",2016,1258,"",""
"4845","Portugal","F","Information and Communication Technologies","Total tertiary education (ISCED2011 levels 5 to 8)",2017,1480,"",""
"4846","Portugal","M","Information and Communication Technologies","Total tertiary education (ISCED2011 levels 5 to 8)",2013,5380,"",""
"4847","Portugal","M","Information and Communication Technologies","Total tertiary education (ISCED2011 levels 5 to 8)",2014,5099,"",""
"4848","Portugal","M","Information and Communication Technologies","Total tertiary education (ISCED2011 levels 5 to 8)",2015,4840,"",""
"4849","Portugal","M","Information and Communication Technologies","Total tertiary education (ISCED2011 levels 5 to 8)",2016,6079,"",""
"4850","Portugal","M","Information and Communication Technologies","Total tertiary education (ISCED2011 levels 5 to 8)",2017,7140,"",""
"4851","Portugal","F","Information and Communication Technologies","Bachelor’s or equivalent level (ISCED2011 level 6)",2013,739,"",""
"4852","Portugal","F","Information and Communication Technologies","Bachelor’s or equivalent level (ISCED2011 level 6)",2014,635,"",""
"4853","Portugal","F","Information and Communication Technologies","Bachelor’s or equivalent level (ISCED2011 level 6)",2015,578,"",""
"4854","Portugal","F","Information and Communication Technologies","Bachelor’s or equivalent level (ISCED2011 level 6)",2016,641,"",""
"4855","Portugal","F","Information and Communication Technologies","Bachelor’s or equivalent level (ISCED2011 level 6)",2017,708,"",""
"4856","Portugal","M","Information and Communication Technologies","Bachelor’s or equivalent level (ISCED2011 level 6)",2013,3816,"",""
"4857","Portugal","M","Information and Communication Technologies","Bachelor’s or equivalent level (ISCED2011 level 6)",2014,3571,"",""
"4858","Portugal","M","Information and Communication Technologies","Bachelor’s or equivalent level (ISCED2011 level 6)",2015,3269,"",""
"4859","Portugal","M","Information and Communication Technologies","Bachelor’s or equivalent level (ISCED2011 level 6)",2016,3401,"",""
"4860","Portugal","M","Information and Communication Technologies","Bachelor’s or equivalent level (ISCED2011 level 6)",2017,3637,"",""
"4861","Portugal","F","Information and Communication Technologies","Master’s or equivalent level (ISCED2011 level 7)",2013,342,"",""
"4862","Portugal","F","Information and Communication Technologies","Master’s or equivalent level (ISCED2011 level 7)",2014,356,"",""
"4863","Portugal","F","Information and Communication Technologies","Master’s or equivalent level (ISCED2011 level 7)",2015,377,"",""
"4864","Portugal","F","Information and Communication Technologies","Master’s or equivalent level (ISCED2011 level 7)",2016,412,"",""
"4865","Portugal","F","Information and Communication Technologies","Master’s or equivalent level (ISCED2011 level 7)",2017,516,"",""
"4866","Portugal","M","Information and Communication Technologies","Master’s or equivalent level (ISCED2011 level 7)",2013,1089,"",""
"4867","Portugal","M","Information and Communication Technologies","Master’s or equivalent level (ISCED2011 level 7)",2014,1117,"",""
"4868","Portugal","M","Information and Communication Technologies","Master’s or equivalent level (ISCED2011 level 7)",2015,1054,"",""
"4869","Portugal","M","Information and Communication Technologies","Master’s or equivalent level (ISCED2011 level 7)",2016,1133,"",""
"4870","Portugal","M","Information and Communication Technologies","Master’s or equivalent level (ISCED2011 level 7)",2017,1302,"",""
"4871","Portugal","F","Information and Communication Technologies","Doctoral or equivalent level  (ISCED2011 level 8)",2013,135,"",""
"4872","Portugal","F","Information and Communication Technologies","Doctoral or equivalent level  (ISCED2011 level 8)",2014,131,"",""
"4873","Portugal","F","Information and Communication Technologies","Doctoral or equivalent level  (ISCED2011 level 8)",2015,121,"",""
"4874","Portugal","F","Information and Communication Technologies","Doctoral or equivalent level  (ISCED2011 level 8)",2016,106,"",""
"4875","Portugal","F","Information and Communication Technologies","Doctoral or equivalent level  (ISCED2011 level 8)",2017,116,"",""
"4876","Portugal","M","Information and Communication Technologies","Doctoral or equivalent level  (ISCED2011 level 8)",2013,475,"",""
"4877","Portugal","M","Information and Communication Technologies","Doctoral or equivalent level  (ISCED2011 level 8)",2014,411,"",""
"4878","Portugal","M","Information and Communication Technologies","Doctoral or equivalent level  (ISCED2011 level 8)",2015,397,"",""
"4879","Portugal","M","Information and Communication Technologies","Doctoral or equivalent level  (ISCED2011 level 8)",2016,404,"",""
"4880","Portugal","M","Information and Communication Technologies","Doctoral or equivalent level  (ISCED2011 level 8)",2017,375,"",""
"4881","Portugal","F","Engineering, manufacturing and construction","Total tertiary education (ISCED2011 levels 5 to 8)",2013,22465,"",""
"4882","Portugal","F","Engineering, manufacturing and construction","Total tertiary education (ISCED2011 levels 5 to 8)",2014,21550,"",""
"4883","Portugal","F","Engineering, manufacturing and construction","Total tertiary education (ISCED2011 levels 5 to 8)",2015,19718,"",""
"4884","Portugal","F","Engineering, manufacturing and construction","Total tertiary education (ISCED2011 levels 5 to 8)",2016,20241,"",""
"4885","Portugal","F","Engineering, manufacturing and construction","Total tertiary education (ISCED2011 levels 5 to 8)",2017,19991,"",""
"4886","Portugal","M","Engineering, manufacturing and construction","Total tertiary education (ISCED2011 levels 5 to 8)",2013,60951,"",""
"4887","Portugal","M","Engineering, manufacturing and construction","Total tertiary education (ISCED2011 levels 5 to 8)",2014,57845,"",""
"4888","Portugal","M","Engineering, manufacturing and construction","Total tertiary education (ISCED2011 levels 5 to 8)",2015,54962,"",""
"4889","Portugal","M","Engineering, manufacturing and construction","Total tertiary education (ISCED2011 levels 5 to 8)",2016,55669,"",""
"4890","Portugal","M","Engineering, manufacturing and construction","Total tertiary education (ISCED2011 levels 5 to 8)",2017,54855,"",""
"4891","Portugal","F","Engineering, manufacturing and construction","Bachelor’s or equivalent level (ISCED2011 level 6)",2013,8192,"",""
"4892","Portugal","F","Engineering, manufacturing and construction","Bachelor’s or equivalent level (ISCED2011 level 6)",2014,7188,"",""
"4893","Portugal","F","Engineering, manufacturing and construction","Bachelor’s or equivalent level (ISCED2011 level 6)",2015,6446,"",""
"4894","Portugal","F","Engineering, manufacturing and construction","Bachelor’s or equivalent level (ISCED2011 level 6)",2016,6165,"",""
"4895","Portugal","F","Engineering, manufacturing and construction","Bachelor’s or equivalent level (ISCED2011 level 6)",2017,5753,"",""
"4896","Portugal","M","Engineering, manufacturing and construction","Bachelor’s or equivalent level (ISCED2011 level 6)",2013,29772,"",""
"4897","Portugal","M","Engineering, manufacturing and construction","Bachelor’s or equivalent level (ISCED2011 level 6)",2014,26761,"",""
"4898","Portugal","M","Engineering, manufacturing and construction","Bachelor’s or equivalent level (ISCED2011 level 6)",2015,25252,"",""
"4899","Portugal","M","Engineering, manufacturing and construction","Bachelor’s or equivalent level (ISCED2011 level 6)",2016,24579,"",""
"4900","Portugal","M","Engineering, manufacturing and construction","Bachelor’s or equivalent level (ISCED2011 level 6)",2017,23321,"",""
"4901","Portugal","F","Engineering, manufacturing and construction","Master’s or equivalent level (ISCED2011 level 7)",2013,13005,"",""
"4902","Portugal","F","Engineering, manufacturing and construction","Master’s or equivalent level (ISCED2011 level 7)",2014,12996,"",""
"4903","Portugal","F","Engineering, manufacturing and construction","Master’s or equivalent level (ISCED2011 level 7)",2015,11976,"",""
"4904","Portugal","F","Engineering, manufacturing and construction","Master’s or equivalent level (ISCED2011 level 7)",2016,12579,"",""
"4905","Portugal","F","Engineering, manufacturing and construction","Master’s or equivalent level (ISCED2011 level 7)",2017,12570,"",""
"4906","Portugal","M","Engineering, manufacturing and construction","Master’s or equivalent level (ISCED2011 level 7)",2013,28898,"",""
"4907","Portugal","M","Engineering, manufacturing and construction","Master’s or equivalent level (ISCED2011 level 7)",2014,28772,"",""
"4908","Portugal","M","Engineering, manufacturing and construction","Master’s or equivalent level (ISCED2011 level 7)",2015,27455,"",""
"4909","Portugal","M","Engineering, manufacturing and construction","Master’s or equivalent level (ISCED2011 level 7)",2016,27812,"",""
"4910","Portugal","M","Engineering, manufacturing and construction","Master’s or equivalent level (ISCED2011 level 7)",2017,27325,"",""
"4911","Portugal","F","Engineering, manufacturing and construction","Doctoral or equivalent level  (ISCED2011 level 8)",2013,1268,"",""
"4912","Portugal","F","Engineering, manufacturing and construction","Doctoral or equivalent level  (ISCED2011 level 8)",2014,1366,"",""
"4913","Portugal","F","Engineering, manufacturing and construction","Doctoral or equivalent level  (ISCED2011 level 8)",2015,1294,"",""
"4914","Portugal","F","Engineering, manufacturing and construction","Doctoral or equivalent level  (ISCED2011 level 8)",2016,1292,"",""
"4915","Portugal","F","Engineering, manufacturing and construction","Doctoral or equivalent level  (ISCED2011 level 8)",2017,1303,"",""
"4916","Portugal","M","Engineering, manufacturing and construction","Doctoral or equivalent level  (ISCED2011 level 8)",2013,2281,"",""
"4917","Portugal","M","Engineering, manufacturing and construction","Doctoral or equivalent level  (ISCED2011 level 8)",2014,2312,"",""
"4918","Portugal","M","Engineering, manufacturing and construction","Doctoral or equivalent level  (ISCED2011 level 8)",2015,2176,"",""
"4919","Portugal","M","Engineering, manufacturing and construction","Doctoral or equivalent level  (ISCED2011 level 8)",2016,2009,"",""
"4920","Portugal","M","Engineering, manufacturing and construction","Doctoral or equivalent level  (ISCED2011 level 8)",2017,2072,"",""
"4921","Portugal","F","Natural sciences, mathematics and statistics","Total tertiary education (ISCED2011 levels 5 to 8)",2013,652,"",""
"4922","Portugal","F","Natural sciences, mathematics and statistics","Total tertiary education (ISCED2011 levels 5 to 8)",2014,631,"",""
"4923","Portugal","F","Natural sciences, mathematics and statistics","Total tertiary education (ISCED2011 levels 5 to 8)",2015,622,"",""
"4924","Portugal","F","Natural sciences, mathematics and statistics","Total tertiary education (ISCED2011 levels 5 to 8)",2016,558,"",""
"4925","Portugal","F","Natural sciences, mathematics and statistics","Total tertiary education (ISCED2011 levels 5 to 8)",2017,643,"",""
"4926","Portugal","M","Natural sciences, mathematics and statistics","Total tertiary education (ISCED2011 levels 5 to 8)",2013,708,"",""
"4927","Portugal","M","Natural sciences, mathematics and statistics","Total tertiary education (ISCED2011 levels 5 to 8)",2014,737,"",""
"4928","Portugal","M","Natural sciences, mathematics and statistics","Total tertiary education (ISCED2011 levels 5 to 8)",2015,703,"",""
"4929","Portugal","M","Natural sciences, mathematics and statistics","Total tertiary education (ISCED2011 levels 5 to 8)",2016,654,"",""
"4930","Portugal","M","Natural sciences, mathematics and statistics","Total tertiary education (ISCED2011 levels 5 to 8)",2017,753,"",""
"4931","Portugal","F","Natural sciences, mathematics and statistics","Bachelor’s or equivalent level (ISCED2011 level 6)",2013,308,"",""
"4932","Portugal","F","Natural sciences, mathematics and statistics","Bachelor’s or equivalent level (ISCED2011 level 6)",2014,297,"",""
"4933","Portugal","F","Natural sciences, mathematics and statistics","Bachelor’s or equivalent level (ISCED2011 level 6)",2015,231,"",""
"4934","Portugal","F","Natural sciences, mathematics and statistics","Bachelor’s or equivalent level (ISCED2011 level 6)",2016,170,"",""
"4935","Portugal","F","Natural sciences, mathematics and statistics","Bachelor’s or equivalent level (ISCED2011 level 6)",2017,228,"",""
"4936","Portugal","M","Natural sciences, mathematics and statistics","Bachelor’s or equivalent level (ISCED2011 level 6)",2013,312,"",""
"4937","Portugal","M","Natural sciences, mathematics and statistics","Bachelor’s or equivalent level (ISCED2011 level 6)",2014,292,"",""
"4938","Portugal","M","Natural sciences, mathematics and statistics","Bachelor’s or equivalent level (ISCED2011 level 6)",2015,185,"",""
"4939","Portugal","M","Natural sciences, mathematics and statistics","Bachelor’s or equivalent level (ISCED2011 level 6)",2016,115,"",""
"4940","Portugal","M","Natural sciences, mathematics and statistics","Bachelor’s or equivalent level (ISCED2011 level 6)",2017,140,"",""
"4941","Portugal","F","Natural sciences, mathematics and statistics","Master’s or equivalent level (ISCED2011 level 7)",2013,159,"",""
"4942","Portugal","F","Natural sciences, mathematics and statistics","Master’s or equivalent level (ISCED2011 level 7)",2014,138,"",""
"4943","Portugal","F","Natural sciences, mathematics and statistics","Master’s or equivalent level (ISCED2011 level 7)",2015,175,"",""
"4944","Portugal","F","Natural sciences, mathematics and statistics","Master’s or equivalent level (ISCED2011 level 7)",2016,147,"",""
"4945","Portugal","F","Natural sciences, mathematics and statistics","Master’s or equivalent level (ISCED2011 level 7)",2017,167,"",""
"4946","Portugal","M","Natural sciences, mathematics and statistics","Master’s or equivalent level (ISCED2011 level 7)",2013,192,"",""
"4947","Portugal","M","Natural sciences, mathematics and statistics","Master’s or equivalent level (ISCED2011 level 7)",2014,209,"",""
"4948","Portugal","M","Natural sciences, mathematics and statistics","Master’s or equivalent level (ISCED2011 level 7)",2015,241,"",""
"4949","Portugal","M","Natural sciences, mathematics and statistics","Master’s or equivalent level (ISCED2011 level 7)",2016,205,"",""
"4950","Portugal","M","Natural sciences, mathematics and statistics","Master’s or equivalent level (ISCED2011 level 7)",2017,244,"",""
"4951","Portugal","F","Natural sciences, mathematics and statistics","Doctoral or equivalent level  (ISCED2011 level 8)",2013,185,"",""
"4952","Portugal","F","Natural sciences, mathematics and statistics","Doctoral or equivalent level  (ISCED2011 level 8)",2014,196,"",""
"4953","Portugal","F","Natural sciences, mathematics and statistics","Doctoral or equivalent level  (ISCED2011 level 8)",2015,216,"",""
"4954","Portugal","F","Natural sciences, mathematics and statistics","Doctoral or equivalent level  (ISCED2011 level 8)",2016,240,"",""
"4955","Portugal","F","Natural sciences, mathematics and statistics","Doctoral or equivalent level  (ISCED2011 level 8)",2017,244,"",""
"4956","Portugal","M","Natural sciences, mathematics and statistics","Doctoral or equivalent level  (ISCED2011 level 8)",2013,204,"",""
"4957","Portugal","M","Natural sciences, mathematics and statistics","Doctoral or equivalent level  (ISCED2011 level 8)",2014,236,"",""
"4958","Portugal","M","Natural sciences, mathematics and statistics","Doctoral or equivalent level  (ISCED2011 level 8)",2015,277,"",""
"4959","Portugal","M","Natural sciences, mathematics and statistics","Doctoral or equivalent level  (ISCED2011 level 8)",2016,333,"",""
"4960","Portugal","M","Natural sciences, mathematics and statistics","Doctoral or equivalent level  (ISCED2011 level 8)",2017,365,"",""
"4961","Portugal","F","Information and Communication Technologies","Total tertiary education (ISCED2011 levels 5 to 8)",2013,85,"",""
"4962","Portugal","F","Information and Communication Technologies","Total tertiary education (ISCED2011 levels 5 to 8)",2014,107,"",""
"4963","Portugal","F","Information and Communication Technologies","Total tertiary education (ISCED2011 levels 5 to 8)",2015,119,"",""
"4964","Portugal","F","Information and Communication Technologies","Total tertiary education (ISCED2011 levels 5 to 8)",2016,138,"",""
"4965","Portugal","F","Information and Communication Technologies","Total tertiary education (ISCED2011 levels 5 to 8)",2017,153,"",""
"4966","Portugal","M","Information and Communication Technologies","Total tertiary education (ISCED2011 levels 5 to 8)",2013,214,"",""
"4967","Portugal","M","Information and Communication Technologies","Total tertiary education (ISCED2011 levels 5 to 8)",2014,248,"",""
"4968","Portugal","M","Information and Communication Technologies","Total tertiary education (ISCED2011 levels 5 to 8)",2015,250,"",""
"4969","Portugal","M","Information and Communication Technologies","Total tertiary education (ISCED2011 levels 5 to 8)",2016,354,"",""
"4970","Portugal","M","Information and Communication Technologies","Total tertiary education (ISCED2011 levels 5 to 8)",2017,369,"",""
"4971","Portugal","F","Information and Communication Technologies","Bachelor’s or equivalent level (ISCED2011 level 6)",2013,36,"",""
"4972","Portugal","F","Information and Communication Technologies","Bachelor’s or equivalent level (ISCED2011 level 6)",2014,51,"",""
"4973","Portugal","F","Information and Communication Technologies","Bachelor’s or equivalent level (ISCED2011 level 6)",2015,33,"",""
"4974","Portugal","F","Information and Communication Technologies","Bachelor’s or equivalent level (ISCED2011 level 6)",2016,41,"",""
"4975","Portugal","F","Information and Communication Technologies","Bachelor’s or equivalent level (ISCED2011 level 6)",2017,42,"",""
"4976","Portugal","M","Information and Communication Technologies","Bachelor’s or equivalent level (ISCED2011 level 6)",2013,103,"",""
"4977","Portugal","M","Information and Communication Technologies","Bachelor’s or equivalent level (ISCED2011 level 6)",2014,124,"",""
"4978","Portugal","M","Information and Communication Technologies","Bachelor’s or equivalent level (ISCED2011 level 6)",2015,90,"",""
"4979","Portugal","M","Information and Communication Technologies","Bachelor’s or equivalent level (ISCED2011 level 6)",2016,119,"",""
"4980","Portugal","M","Information and Communication Technologies","Bachelor’s or equivalent level (ISCED2011 level 6)",2017,127,"",""
"4981","Portugal","F","Information and Communication Technologies","Master’s or equivalent level (ISCED2011 level 7)",2013,20,"",""
"4982","Portugal","F","Information and Communication Technologies","Master’s or equivalent level (ISCED2011 level 7)",2014,26,"",""
"4983","Portugal","F","Information and Communication Technologies","Master’s or equivalent level (ISCED2011 level 7)",2015,40,"",""
"4984","Portugal","F","Information and Communication Technologies","Master’s or equivalent level (ISCED2011 level 7)",2016,50,"",""
"4985","Portugal","F","Information and Communication Technologies","Master’s or equivalent level (ISCED2011 level 7)",2017,59,"",""
"4986","Portugal","M","Information and Communication Technologies","Master’s or equivalent level (ISCED2011 level 7)",2013,48,"",""
"4987","Portugal","M","Information and Communication Technologies","Master’s or equivalent level (ISCED2011 level 7)",2014,42,"",""
"4988","Portugal","M","Information and Communication Technologies","Master’s or equivalent level (ISCED2011 level 7)",2015,70,"",""
"4989","Portugal","M","Information and Communication Technologies","Master’s or equivalent level (ISCED2011 level 7)",2016,91,"",""
"4990","Portugal","M","Information and Communication Technologies","Master’s or equivalent level (ISCED2011 level 7)",2017,108,"",""
"4991","Portugal","F","Information and Communication Technologies","Doctoral or equivalent level  (ISCED2011 level 8)",2013,29,"",""
"4992","Portugal","F","Information and Communication Technologies","Doctoral or equivalent level  (ISCED2011 level 8)",2014,30,"",""
"4993","Portugal","F","Information and Communication Technologies","Doctoral or equivalent level  (ISCED2011 level 8)",2015,46,"",""
"4994","Portugal","F","Information and Communication Technologies","Doctoral or equivalent level  (ISCED2011 level 8)",2016,46,"",""
"4995","Portugal","F","Information and Communication Technologies","Doctoral or equivalent level  (ISCED2011 level 8)",2017,49,"",""
"4996","Portugal","M","Information and Communication Technologies","Doctoral or equivalent level  (ISCED2011 level 8)",2013,63,"",""
"4997","Portugal","M","Information and Communication Technologies","Doctoral or equivalent level  (ISCED2011 level 8)",2014,82,"",""
"4998","Portugal","M","Information and Communication Technologies","Doctoral or equivalent level  (ISCED2011 level 8)",2015,89,"",""
"4999","Portugal","M","Information and Communication Technologies","Doctoral or equivalent level  (ISCED2011 level 8)",2016,127,"",""
"5000","Portugal","M","Information and Communication Technologies","Doctoral or equivalent level  (ISCED2011 level 8)",2017,107,"",""
