"","location","subject","time","mean.score"
"332","IDN","BOY",2015,401
"333","IDN","BOY",2018,393
"334","IDN","GIRL",2006,387
"335","IDN","GIRL",2009,387
"336","IDN","GIRL",2012,383.459
"337","IDN","GIRL",2015,405
"338","IDN","GIRL",2018,399
"339","ISR","BOY",2006,456
"340","ISR","BOY",2009,453
"341","ISR","BOY",2012,469.715
"342","ISR","BOY",2015,469
"343","ISR","BOY",2018,452
"344","ISR","GIRL",2006,452
"345","ISR","GIRL",2009,456
"346","ISR","GIRL",2012,470.419
"347","ISR","GIRL",2015,464
"348","ISR","GIRL",2018,471
"349","RUS","BOY",2009,477
"350","RUS","BOY",2012,483.532
"351","RUS","BOY",2015,489
"352","RUS","BOY",2018,477
"353","RUS","GIRL",2009,480
"354","RUS","GIRL",2012,489.058
"355","RUS","GIRL",2015,485
"356","RUS","GIRL",2018,478
"357","SVN","BOY",2006,515
"358","SVN","BOY",2009,505
"359","SVN","BOY",2012,509.882
"360","SVN","BOY",2015,510
"361","SVN","BOY",2018,502
"362","SVN","GIRL",2006,523
"363","SVN","GIRL",2009,519
"364","SVN","GIRL",2012,518.717
"365","SVN","GIRL",2015,516
"366","SVN","GIRL",2018,512
"367","OAVG","BOY",2006,499.441
"368","OAVG","BOY",2009,500.853
"369","OAVG","BOY",2012,501.863
"370","OAVG","BOY",2015,495
"371","OAVG","BOY",2018,488
"372","OAVG","GIRL",2006,497.118
"373","OAVG","GIRL",2009,500.824
"374","OAVG","GIRL",2012,500.406
"375","OAVG","GIRL",2015,491
"376","OAVG","GIRL",2018,490
"377","LVA","BOY",2015,485
"378","LVA","BOY",2018,483
"379","LVA","GIRL",2015,496
"380","LVA","GIRL",2018,491
"381","AUS","TOT",2006,527
"382","AUS","TOT",2009,527
"383","AUS","TOT",2012,521
"384","AUS","TOT",2015,510
"385","AUS","TOT",2018,503
"386","AUT","TOT",2006,511
"387","AUT","TOT",2012,506
"388","AUT","TOT",2015,495
"389","AUT","TOT",2018,490
"390","BEL","TOT",2006,510
"391","BEL","TOT",2009,507
"392","BEL","TOT",2012,505
