"","country","sex","field","level.of.education","year","percent","flags"
"124","Austria","T","Arts and humanities","Doctoral or equivalent level  (ISCED2011 level 8)",2017,14.738,""
"125","Austria","F","Arts and humanities","Doctoral or equivalent level  (ISCED2011 level 8)",2017,19.234,""
"126","Austria","M","Arts and humanities","Doctoral or equivalent level  (ISCED2011 level 8)",2017,11.039,""
"127","Austria","T","Social sciences, journalism and information","Bachelor’s or equivalent level (ISCED2011 level 6)",2017,17.344,""
"128","Austria","F","Social sciences, journalism and information","Bachelor’s or equivalent level (ISCED2011 level 6)",2017,18.114,""
"129","Austria","M","Social sciences, journalism and information","Bachelor’s or equivalent level (ISCED2011 level 6)",2017,16.256,""
"130","Austria","T","Social sciences, journalism and information","Master’s or equivalent level (ISCED2011 level 7)",2017,9.72,""
"131","Austria","F","Social sciences, journalism and information","Master’s or equivalent level (ISCED2011 level 7)",2017,12.31,""
"132","Austria","M","Social sciences, journalism and information","Master’s or equivalent level (ISCED2011 level 7)",2017,6.662,""
"133","Austria","T","Social sciences, journalism and information","Doctoral or equivalent level  (ISCED2011 level 8)",2017,9.884,""
"134","Austria","F","Social sciences, journalism and information","Doctoral or equivalent level  (ISCED2011 level 8)",2017,12.196,""
"135","Austria","M","Social sciences, journalism and information","Doctoral or equivalent level  (ISCED2011 level 8)",2017,7.983,""
"136","Austria","T","Business, administration and law","Bachelor’s or equivalent level (ISCED2011 level 6)",2017,16.292,""
"137","Austria","F","Business, administration and law","Bachelor’s or equivalent level (ISCED2011 level 6)",2017,16.67,""
"138","Austria","M","Business, administration and law","Bachelor’s or equivalent level (ISCED2011 level 6)",2017,15.757,""
"139","Austria","T","Business, administration and law","Master’s or equivalent level (ISCED2011 level 7)",2017,31.768,""
"140","Austria","F","Business, administration and law","Master’s or equivalent level (ISCED2011 level 7)",2017,31.454,""
"141","Austria","M","Business, administration and law","Master’s or equivalent level (ISCED2011 level 7)",2017,32.138,""
"142","Austria","T","Business, administration and law","Doctoral or equivalent level  (ISCED2011 level 8)",2017,13.547,""
"143","Austria","F","Business, administration and law","Doctoral or equivalent level  (ISCED2011 level 8)",2017,13.93,""
"144","Austria","M","Business, administration and law","Doctoral or equivalent level  (ISCED2011 level 8)",2017,13.233,""
"145","Austria","T","Natural sciences, mathematics and statistics","Bachelor’s or equivalent level (ISCED2011 level 6)",2017,8.875,""
"146","Austria","F","Natural sciences, mathematics and statistics","Bachelor’s or equivalent level (ISCED2011 level 6)",2017,7.416,""
"147","Austria","M","Natural sciences, mathematics and statistics","Bachelor’s or equivalent level (ISCED2011 level 6)",2017,10.937,""
"148","Austria","T","Natural sciences, mathematics and statistics","Master’s or equivalent level (ISCED2011 level 7)",2017,6.935,""
"149","Austria","F","Natural sciences, mathematics and statistics","Master’s or equivalent level (ISCED2011 level 7)",2017,6.39,""
"150","Austria","M","Natural sciences, mathematics and statistics","Master’s or equivalent level (ISCED2011 level 7)",2017,7.578,""
"151","Austria","T","Natural sciences, mathematics and statistics","Doctoral or equivalent level  (ISCED2011 level 8)",2017,17.598,""
"152","Austria","F","Natural sciences, mathematics and statistics","Doctoral or equivalent level  (ISCED2011 level 8)",2017,14.819,""
"153","Austria","M","Natural sciences, mathematics and statistics","Doctoral or equivalent level  (ISCED2011 level 8)",2017,19.885,""
"154","Austria","T","Information and Communication Technologies","Bachelor’s or equivalent level (ISCED2011 level 6)",2017,4.357,""
"155","Austria","F","Information and Communication Technologies","Bachelor’s or equivalent level (ISCED2011 level 6)",2017,1.272,""
"156","Austria","M","Information and Communication Technologies","Bachelor’s or equivalent level (ISCED2011 level 6)",2017,8.715,""
"157","Austria","T","Information and Communication Technologies","Master’s or equivalent level (ISCED2011 level 7)",2017,3.754,""
"158","Austria","F","Information and Communication Technologies","Master’s or equivalent level (ISCED2011 level 7)",2017,1.037,""
"159","Austria","M","Information and Communication Technologies","Master’s or equivalent level (ISCED2011 level 7)",2017,6.961,""
"160","Austria","T","Information and Communication Technologies","Doctoral or equivalent level  (ISCED2011 level 8)",2017,4.301,""
"161","Austria","F","Information and Communication Technologies","Doctoral or equivalent level  (ISCED2011 level 8)",2017,1.923,""
"162","Austria","M","Information and Communication Technologies","Doctoral or equivalent level  (ISCED2011 level 8)",2017,6.257,""
"163","Austria","T","Engineering, manufacturing and construction","Bachelor’s or equivalent level (ISCED2011 level 6)",2017,14.217,""
"164","Austria","F","Engineering, manufacturing and construction","Bachelor’s or equivalent level (ISCED2011 level 6)",2017,6.578,""
"165","Austria","M","Engineering, manufacturing and construction","Bachelor’s or equivalent level (ISCED2011 level 6)",2017,25.008,""
"166","Austria","T","Engineering, manufacturing and construction","Master’s or equivalent level (ISCED2011 level 7)",2017,13.744,""
"167","Austria","F","Engineering, manufacturing and construction","Master’s or equivalent level (ISCED2011 level 7)",2017,7.257,""
"168","Austria","M","Engineering, manufacturing and construction","Master’s or equivalent level (ISCED2011 level 7)",2017,21.4,""
"169","Austria","T","Engineering, manufacturing and construction","Doctoral or equivalent level  (ISCED2011 level 8)",2017,20.814,""
"170","Austria","F","Engineering, manufacturing and construction","Doctoral or equivalent level  (ISCED2011 level 8)",2017,14.687,""
"171","Austria","M","Engineering, manufacturing and construction","Doctoral or equivalent level  (ISCED2011 level 8)",2017,25.854,""
"172","Austria","T","Agriculture, forestry, fisheries and veterinary","Bachelor’s or equivalent level (ISCED2011 level 6)",2017,0.824,""
"173","Austria","F","Agriculture, forestry, fisheries and veterinary","Bachelor’s or equivalent level (ISCED2011 level 6)",2017,0.72,""
"174","Austria","M","Agriculture, forestry, fisheries and veterinary","Bachelor’s or equivalent level (ISCED2011 level 6)",2017,0.971,""
"175","Austria","T","Agriculture, forestry, fisheries and veterinary","Master’s or equivalent level (ISCED2011 level 7)",2017,1.166,""
"176","Austria","F","Agriculture, forestry, fisheries and veterinary","Master’s or equivalent level (ISCED2011 level 7)",2017,1.503,""
"177","Austria","M","Agriculture, forestry, fisheries and veterinary","Master’s or equivalent level (ISCED2011 level 7)",2017,0.767,""
"178","Austria","T","Agriculture, forestry, fisheries and veterinary","Doctoral or equivalent level  (ISCED2011 level 8)",2017,3.788,""
"179","Austria","F","Agriculture, forestry, fisheries and veterinary","Doctoral or equivalent level  (ISCED2011 level 8)",2017,3.934,""
"180","Austria","M","Agriculture, forestry, fisheries and veterinary","Doctoral or equivalent level  (ISCED2011 level 8)",2017,3.668,""
"181","Austria","T","Health and welfare","Bachelor’s or equivalent level (ISCED2011 level 6)",2017,8.207,""
